model_name,train_mae,train_rmse,train_mape,train_r2,train_directional_accuracy,val_mae,val_rmse,val_mape,val_r2,val_directional_accuracy,best_params,feature_importance
Random Forest,551.9709493694711,1084.979256511127,13.246633120852252,0.9955656164834693,88.68808567603749,288.96053231469153,724.4381113135188,0.8200280234683147,0.9742225104049771,73.75,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}","[9.33070074e-04 4.92728836e-05 8.17036748e-04 4.86115764e-03
 1.10087454e-04 1.27284621e-02 5.57279515e-02 3.11455936e-04
 1.64285157e-03 9.73028921e-02 2.02424462e-01 1.22787621e-02
 2.68534901e-05 3.89875628e-04 2.47186027e-04 2.98513342e-05
 5.83868369e-05 2.21210633e-04 5.56713074e-04 5.29847722e-05
 1.23771899e-05 1.16832810e-04 1.31259567e-04 1.20111653e-03
 1.39841736e-03 2.30172100e-04 3.75276343e-04 7.78329273e-04
 1.34477593e-04 4.66746593e-02 2.47433803e-02 8.05533146e-03
 8.34575255e-03 1.27559173e-02 2.26910573e-03 1.03449382e-02
 1.19934609e-04 2.02606908e-03 9.83694245e-04 7.68903301e-03
 0.00000000e+00 7.06749899e-03 6.68702230e-03 2.18278011e-04
 0.00000000e+00 4.02182831e-03 1.22466947e-03 7.90276854e-05
 0.00000000e+00 6.24402607e-05 2.35131613e-05 8.39252568e-04
 7.47288103e-04 1.39041652e-05 6.31681940e-06 2.19306265e-04
 1.68708430e-04 2.80597145e-05 7.47604159e-05 4.89059615e-04
 1.60196538e-04 3.07850111e-04 3.28924803e-04 8.46500818e-04
 5.68836578e-04 0.00000000e+00 8.27391279e-06 1.15353063e-04
 2.20853858e-04 4.25138911e-04 2.86399335e-04 7.10706228e-04
 4.16287024e-04 1.23959452e-04 1.15777982e-04 1.73845935e-03
 6.62256683e-03 7.30756040e-08 0.00000000e+00 1.41296901e-04
 4.33350197e-04 1.74618800e-04 4.21553620e-04 3.26911545e-04
 5.19249998e-04 8.18617305e-04 2.07636185e-05 1.46117475e-02
 5.01384585e-04 4.45537388e-04 8.17922249e-04 1.56087468e-02
 6.51204185e-04 2.39257752e-05 8.04689123e-05 2.43606978e-05
 2.99263783e-05 2.31547933e-05 1.17967235e-04 2.88973176e-04
 1.15326646e-03 2.12811191e-05 2.96405090e-04 9.26576753e-05
 2.39480807e-04 2.79905445e-04 2.34204358e-04 3.62127712e-05
 2.94949355e-04 1.60105328e-04 4.01482192e-05 7.99161462e-05
 3.50533385e-04 1.54764606e-03 1.44542980e-04 1.09849085e-03
 6.99291202e-04 1.20429141e-04 3.46758907e-04 1.03060762e-03
 6.17592728e-03 4.45290256e-04 4.30518523e-04 1.08353127e-03
 5.15870823e-04 4.40101451e-04 5.04493071e-04 2.01994233e-04
 5.08765571e-04 1.63271772e-04 1.06036839e-04 3.60726823e-04
 7.26579064e-04 1.15930434e-04 8.22988621e-05 4.22688865e-04
 2.36510567e-04 2.91501647e-03 2.67665537e-04 6.28300010e-03
 6.71538790e-03 5.58371417e-04 4.66599431e-04 1.41670033e-03
 6.64870446e-03 1.91812729e-03 2.96958175e-04 2.90820622e-03
 9.34903470e-03 3.84657566e-04 1.54912051e-04 3.42832431e-04
 5.82243429e-04 1.08114877e-03 2.58524526e-04 3.34327086e-04
 6.98278137e-03 1.97654532e-03 5.91399578e-04 9.30779763e-04
 4.06188976e-04 1.17596288e-03 7.63711948e-04 4.60796416e-04
 6.26423741e-03 0.00000000e+00 0.00000000e+00 1.56420022e-04
 6.56056189e-06 1.49910581e-03 5.99891444e-03 6.49491275e-03
 5.59484085e-04 3.73834316e-04 6.25461003e-04 3.64705648e-04
 3.74643641e-04 9.84473097e-04 1.57689328e-04 6.64404123e-04
 6.43983269e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.86974366e-03 3.53256784e-04 5.90347112e-03
 7.83825887e-04 8.20074146e-04 3.32720233e-04 1.00609521e-03
 6.62670727e-03 1.13669925e-03 3.52189482e-04 4.05838335e-04
 6.60109553e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 6.10396186e-07 7.23882491e-04 6.25059830e-03 2.27444509e-04
 8.60125958e-04 6.65699735e-03 2.98379222e-04 3.88170339e-04
 2.53515953e-04 1.28764650e-04 3.33450412e-04 1.46124658e-04
 2.55794646e-04 0.00000000e+00 1.89598971e-06 0.00000000e+00
 0.00000000e+00 2.94261997e-03 1.17592549e-03 1.17936936e-01
 1.37894892e-01]"
XGBoost,2.312844746567334,5.3289680064865435,0.0340226889998293,0.9999998930264011,74.69879518072288,22.73484350661994,116.92564643546496,0.06761144254006998,0.9993284820900138,66.25,"{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[1.39059978e-06 4.41644261e-06 1.44256740e-06 3.92183165e-06
 3.56633900e-05 7.23252880e-09 1.60432483e-05 5.26074973e-06
 3.53672067e-06 2.95706923e-05 9.98081326e-01 1.44955209e-06
 1.52719858e-05 4.10130997e-06 4.84248403e-07 0.00000000e+00
 0.00000000e+00 7.54892608e-06 4.03949201e-07 1.37201605e-05
 2.08970941e-05 1.80213294e-06 2.52936815e-07 1.18814910e-06
 8.72033525e-06 5.16277623e-06 8.84052679e-06 5.72269673e-05
 5.53302698e-06 8.20498917e-06 2.03588911e-06 2.45604278e-05
 2.02426077e-06 2.87166904e-06 3.65334427e-06 7.44441968e-06
 0.00000000e+00 7.59752311e-06 6.45246973e-06 9.64559331e-06
 2.18247976e-07 7.09310234e-06 5.30251009e-06 5.69959548e-06
 0.00000000e+00 9.31485431e-07 4.06878053e-06 1.01192536e-05
 0.00000000e+00 3.92209631e-06 1.10348356e-05 4.94203005e-06
 1.34685351e-05 7.05358070e-06 2.73679063e-07 1.30862427e-05
 1.38606174e-05 3.42573890e-06 1.42955923e-05 1.21223966e-05
 5.40035080e-06 6.10336720e-05 2.53240682e-06 2.94675774e-05
 3.32210657e-05 6.73697605e-06 3.14469389e-06 2.76106471e-06
 1.31300867e-05 3.47349987e-06 1.28898697e-04 1.27845703e-06
 6.73700924e-06 7.54619623e-06 1.37937559e-06 9.37079403e-06
 1.08335362e-05 1.52888060e-06 2.37975273e-05 1.12291136e-05
 6.79130244e-06 1.60827983e-06 8.75825481e-06 3.21582661e-06
 5.46290585e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.32513776e-06 1.48621011e-05 6.76904983e-06
 5.72865383e-06 0.00000000e+00 0.00000000e+00 7.49582227e-07
 6.06702599e-07 9.23318396e-07 2.69936390e-05 4.12559984e-06
 4.60515330e-05 6.83046965e-05 2.63749753e-05 5.47151512e-06
 3.06079437e-06 1.90641622e-05 7.90072954e-06 6.30220347e-06
 5.91435901e-06 1.61268053e-05 3.34362335e-06 1.56863225e-05
 3.67623352e-06 0.00000000e+00 5.49645938e-06 5.58698139e-06
 1.06023626e-05 0.00000000e+00 3.13292912e-06 4.73135260e-05
 4.28368139e-06 1.28389920e-05 3.46723323e-06 7.19619629e-06
 8.88537784e-07 0.00000000e+00 0.00000000e+00 2.44976877e-06
 2.15299735e-07 2.13757698e-06 1.03398202e-06 5.05365506e-06
 1.99211217e-06 4.63418019e-06 1.60830450e-06 2.07956168e-06
 8.89131024e-06 3.79705125e-06 8.70191798e-06 3.86004814e-07
 3.14620223e-07 5.35031950e-06 8.75116239e-05 3.38994778e-06
 9.44595231e-05 4.24749942e-06 2.34028539e-06 4.04083721e-06
 1.85116437e-06 3.74562035e-07 3.48356048e-06 1.23388793e-06
 7.74183434e-07 0.00000000e+00 0.00000000e+00 8.37437256e-06
 2.96310118e-05 1.18640423e-06 1.53039109e-05 5.05697153e-06
 6.14065357e-05 3.83641736e-06 2.68531858e-06 1.22425945e-05
 6.94978589e-05 0.00000000e+00 0.00000000e+00 1.28028873e-07
 0.00000000e+00 3.51998597e-06 7.18639421e-06 3.91783215e-06
 7.39960842e-06 2.72961188e-06 1.50713204e-05 5.46137016e-06
 1.26202485e-05 9.41419387e-07 6.52641847e-06 4.09415816e-06
 1.58788625e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.19230219e-06 4.36067967e-06 3.38929726e-06 9.51330549e-07
 5.96093332e-06 1.29023363e-06 1.07504793e-05 1.22136425e-05
 1.45868728e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.89550461e-06 1.01231881e-05 1.15746770e-05
 9.10749748e-07 1.61429767e-07 8.09484663e-06 1.64829180e-05
 8.78602896e-06 0.00000000e+00 3.79954258e-07 0.00000000e+00
 2.73331284e-06 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.41870960e-05
 7.10379982e-06]"
