feature,importance
expense_rolling_std_14_rolling_mean_30,0.0
expense_rolling_min_14_rolling_mean_30,0.0
expense_rolling_max_14_lag_1,0.0
expense_rolling_max_14_lag_7,0.0
expense_rolling_max_7_lag_1,0.0
expense_rolling_max_7_rolling_mean_30,0.0
expense_rolling_max_7_rolling_mean_7,0.0
expense_rolling_mean_14_lag_1,0.0
expense_rolling_std_7_lag_1,0.0
expense_rolling_mean_30_rolling_mean_30,0.0
expense_rolling_mean_30_rolling_mean_7,0.0
expense_rolling_mean_30_lag_7,0.0
expense_rolling_mean_30_lag_1,0.0
expense_rolling_max_14_rolling_mean_7,0.0
expense_rolling_min_30_lag_1,0.0
expense_rolling_std_30_lag_7,0.0
expense_rolling_std_30_rolling_mean_30,0.0
expense_rolling_max_30_lag_1,0.0
expense_rolling_max_30_lag_7,0.0
expense_rolling_max_30_rolling_mean_7,0.0
expense_rolling_max_30_rolling_mean_30,0.0
expense_rolling_mean_90_lag_1,0.0
expense_rolling_min_30_lag_7,0.0
expense_rolling_min_30_rolling_mean_7,0.0
expense_rolling_min_30_rolling_mean_30,0.0
expense_rolling_mean_90_rolling_mean_30,0.0
expense_rolling_mean_90_rolling_mean_7,0.0
expense_rolling_mean_90_lag_7,0.0
expense_rolling_std_90_lag_1,0.0
expense_rolling_std_90_rolling_mean_30,0.0
expense_rolling_min_90_lag_1,0.0
expense_rolling_std_90_rolling_mean_7,0.0
expense_rolling_std_90_lag_7,0.0
expense_rolling_min_90_rolling_mean_30,0.0
expense_rolling_min_90_rolling_mean_7,0.0
expense_rolling_max_90_lag_1,0.0
expense_rolling_max_90_lag_7,0.0
expense_rolling_max_90_rolling_mean_30,0.0
expense_rolling_max_90_rolling_mean_7,0.0
expense_volatility_30,0.0
expense_volatility_7,0.0
