feature,importance
expense_rolling_min_7_lag_1,0.00037912539835776237
expense_rolling_min_30_lag_7,0.0003711104788693494
expense_rolling_std_7_lag_7,0.00035838097464962283
expense_lag_3_rolling_mean_7,0.00035572874202922125
expense_lag_30_lag_1,0.00034032889383362456
expense_rolling_mean_30_lag_1,0.00033712767888368164
expense_rolling_mean_3_lag_7,0.00033043070665901493
expense_rolling_mean_90,0.0003181771542911747
expense_rolling_min_14_rolling_mean_7,0.00031592742810443545
expense_rolling_min_90_rolling_mean_30,0.0003111178199958356
Bills & Utilities_rolling_mean_7,0.0003085955964865298
expense_lag_7_lag_1,0.0003085104676612818
week_of_year,0.00030652647011192795
expense_rolling_std_7_rolling_mean_7,0.0003040859077862486
expense_rolling_std_3_rolling_mean_30,0.0003025235495204354
expense_rolling_std_90_rolling_mean_7,0.00029982201420336384
expense_rolling_min_30_lag_1,0.0002948245812097759
expense_rolling_max_30_lag_7,0.00029430437006657884
expense_rolling_mean_7_lag_7,0.00029392355693497375
expense_rolling_std_30_lag_7,0.00029337779181879266
expense_lag_14_rolling_mean_30,0.00029032734772335526
expense_lag_30_rolling_mean_7,0.0002872270381631128
expense_lag_1_lag_7,0.0002820046735233598
expense_rolling_max_3_lag_7,0.0002806287623707131
expense_lag_14,0.00027954994811003664
expense_rolling_min_30,0.0002764990379110004
expense_rolling_mean_90_rolling_mean_30,0.0002724045807802515
expense_rolling_max_7_rolling_mean_30,0.0002699987712015818
Bills & Utilities_lag_1,0.0002699843351166163
expense_rolling_min_14_lag_1,0.00026046693458016033
expense_rolling_min_30_rolling_mean_30,0.0002493523154818964
Travel_lag_7,0.0002493120475257595
expense_lag_7_lag_7,0.00024887266089955137
day_of_year,0.0002473067467881486
expense_rolling_std_14_lag_7,0.00024558429318221296
expense_rolling_min_7_rolling_mean_7,0.00024288664504748406
expense_rolling_min_30_rolling_mean_7,0.00023934550152962032
expense_rolling_std_7_rolling_mean_30,0.00023017916056290735
expense_rolling_std_30_rolling_mean_7,0.00022758849064041458
expense_rolling_min_14,0.00022350177417749427
expense_rolling_max_14_lag_1,0.00021941728701782917
expense_rolling_min_14_lag_7,0.0002181226477839127
expense_rolling_std_90_lag_7,0.00021660029668515524
expense_rolling_min_3_lag_7,0.00021238459176292263
Savings_rolling_mean_30,0.00020588950238881074
expense_rolling_max_14_lag_7,0.00020467594416871655
expense_rolling_min_90_lag_1,0.00019785661786477591
Food & Dining_lag_7,0.00019433315690332094
expense_rolling_min_90_lag_7,0.00019366716682420757
weekday,0.00018806202789856593
Others_lag_7,0.0001869384194963127
expense_rolling_min_7_lag_7,0.00018614798728014068
Food & Dining_lag_1,0.00018490892328037033
expense_rolling_max_7_lag_7,0.00018304076470386234
month_sin_rolling_mean_7,0.00017990153821039994
day,0.00017120963031946055
Travel_lag_1,0.0001632117784533371
expense_rolling_std_90_rolling_mean_30,0.00016307472976298835
month_cos,0.0001619291489953544
Entertainment_lag_1,0.00015107465114769206
expense_rolling_max_90_lag_7,0.00014944619476251183
month_cos_rolling_mean_7,0.0001375399370008491
month_sin_lag_1,0.00013677412638273586
Healthcare_rolling_mean_7,0.0001350965337428781
Education_lag_7,0.00013305537761008424
is_weekend_rolling_mean_30,0.00012194528823253707
Entertainment_lag_7,0.00012092011580545137
Education_lag_1,0.00012061037740867805
weekday_cos_lag_7,0.00011759841800299819
weekday_sin_rolling_mean_30,0.00011129059590106299
Income_rolling_mean_30,0.0001042973256871334
weekday_sin,9.508454980482625e-05
expense_rolling_min_90,8.525640477935944e-05
Savings_lag_1,8.102860170489652e-05
weekday_sin_lag_7,7.801450399657032e-05
month,7.708731050666616e-05
Savings_lag_7,7.174635700821113e-05
Income_lag_7,6.725686398828564e-05
weekday_cos_lag_1,6.656486172031687e-05
weekday_cos,5.913128276215338e-05
month_sin_lag_7,5.850357658776092e-05
month_sin,5.7336008118820416e-05
month_cos_lag_7,5.659015723155016e-05
Income_lag_1,4.40605587070317e-05
is_weekend_lag_1,4.2894743703998714e-05
month_cos_lag_1,3.828628914319023e-05
Healthcare_lag_7,3.667690772555545e-05
Healthcare_lag_1,2.878323013698635e-05
is_weekend_lag_7,2.6892197366249154e-05
weekday_sin_rolling_mean_7,2.3786435565477582e-05
quarter,2.2522312195851174e-05
weekday_cos_rolling_mean_7,1.5741057079033883e-05
is_weekend_rolling_mean_7,1.3096601093009e-05
is_weekend,1.1733850125494461e-05
