model_name,train_mae,train_rmse,train_mape,train_r2,train_directional_accuracy,val_mae,val_rmse,val_mape,val_r2,val_directional_accuracy,min_val_loss,epochs_trained,convergence
LSTM,0.08183975509665106,0.1182813742206757,1.9644353473806892e+16,-0.041799683503096485,50.204918032786885,0.09932863873807775,0.16430095684872772,1.953345760970903e+16,-0.0029198042118085965,51.37931034482759,0.02699480578303337,26,Good
GRU,0.06763551559186519,0.11393523941563596,1.273522063665939e+16,0.033353603164450685,47.19945355191257,0.10461791857406554,0.1646348483811407,2.246982677853219e+16,-0.007000202690745638,42.758620689655174,0.027104632928967476,81,Slow
Bi-LSTM,0.06870343611855176,0.11359981715256887,1.3458799168629672e+16,0.039036786954592895,49.45355191256831,0.10357042731480388,0.16432619364544537,2.186045452857221e+16,-0.00322792691013829,47.241379310344826,0.02700309455394745,60,Good
CNN-1D,0.07951192470589973,0.11792580657685582,1.8262886036485596e+16,-0.03554555460253628,51.63934426229508,0.10927892564532486,0.16510101300635024,2.4961763139781104e+16,-0.012710931260127234,52.06896551724138,0.027258343994617462,39,Good
